Parent ZAI,Reaction ID,Daughter ZAI,Cross-section
451050,103,441050,3.19E-05
461020,16,461010,1.41E-03
461020,17,461000,6.80E-10
461020,102,461030,2.98E-01
461020,103,451020,2.34E-03
461030,16,461020,2.98E-03
461030,102,461040,4.48E-01
461030,103,451030,3.09E-04
461040,16,461030,2.17E-03
461040,17,461020,6.84E-06
461040,102,461050,2.89E-01
461040,103,451040,9.70E-05
461050,16,461040,5.02E-03
461050,17,461030,2.20E-05
461050,102,461060,6.42E-01
461050,103,451050,9.83E-05
461060,16,461050,2.49E-03
461060,17,461040,6.06E-05
461060,102,461070,2.37E-01
461060,103,451060,6.88E-05
461070,16,461060,1.13E-02
461070,17,461050,3.10E-04
461070,102,461080,6.55E-01
461070,103,451070,3.30E-05
461080,16,461070,2.60E-03
461080,17,461060,2.01E-04
461080,102,461090,2.00E-01
461080,103,451080,3.31E-05
461090,16,461080,7.74E-03
461090,102,461100,5.02E-01
461090,103,451090,1.15E-05
461100,16,461090,3.03E-03
461100,17,461080,3.87E-04
461100,102,461110,1.56E-01
461100,103,451100,1.73E-05
471070,16,471060,2.38E-03
471070,17,471050,3.03E-05
471070,102,471080,4.49E-01
471070,103,461070,1.57E-04
471080,16,471070,5.73E-03
471080,102,471090,6.80E-01
471080,103,461080,8.03E-04
471090,16,471080,2.30E-03
471090,17,471070,6.14E-05
471090,102,471100,4.56E-01
471090,103,461090,3.99E-05
471110,16,471100,2.66E-03
471110,17,471090,1.28E-04
471110,102,471120,2.54E-01
471110,103,461110,2.60E-05
471120,16,471110,8.22E-03
471120,102,471130,7.33E-01
471120,103,461120,1.50E-05
471130,16,471120,3.37E-03
471130,102,471140,2.70E-01
471130,103,461130,6.85E-06
471140,16,471130,1.02E-02
471140,102,471150,4.67E-01
471140,103,461140,8.84E-06
471150,16,471140,4.45E-03
471150,102,471160,1.80E-01
471150,103,461150,3.41E-06
471160,16,471150,1.21E-02
471160,102,471170,3.53E-01
471160,103,461160,5.40E-06
471170,16,471160,4.84E-03
471170,102,471180,1.49E-01
471170,103,461170,1.87E-06
471101,16,471090,8.32E-03
471101,17,471080,4.55E-04
471101,102,471110,1.62E+00
471101,103,461100,4.09E-05
471181,16,471170,1.37E-02
471181,102,471190,3.07E-01
471181,103,461180,2.70E-06
481060,16,481050,1.19E-03
481060,17,481040,0.00E+00
481060,102,481070,3.87E-01
481060,103,471060,6.21E-04
481070,16,481060,2.23E-03
481070,102,481080,5.38E-01
481070,103,471070,1.04E-03
