BoL,BoC,EoC,EoL
2.32E+18,2.32E+18,2.33E+18,2.34E+18
1.79E+19,1.79E+19,1.79E+19,1.80E+19
1.41E+19,1.41E+19,1.41E+19,1.41E+19
6.20E+18,6.21E+18,6.21E+18,6.23E+18
1.74E+18,1.75E+18,1.75E+18,1.75E+18
2.95E+18,2.96E+18,2.96E+18,2.96E+18
2.11E+18,2.11E+18,2.11E+18,2.12E+18
7.26E+18,7.26E+18,7.26E+18,7.28E+18
6.82E+18,6.83E+18,6.84E+18,6.86E+18
8.34E+18,8.35E+18,8.36E+18,8.38E+18
3.85E+18,3.85E+18,3.85E+18,3.86E+18
4.04E+18,4.05E+18,4.04E+18,4.06E+18
2.22E+18,2.22E+18,2.22E+18,2.23E+18
2.71E+18,2.71E+18,2.71E+18,2.71E+18
5.50E+18,5.50E+18,5.49E+18,5.51E+18
1.47E+19,1.47E+19,1.47E+19,1.47E+19
1.41E+19,1.41E+19,1.41E+19,1.41E+19
2.94E+18,2.93E+18,2.92E+18,2.91E+18
8.89E+18,8.85E+18,8.81E+18,8.79E+18
9.60E+18,9.54E+18,9.50E+18,9.47E+18
1.74E+18,1.73E+18,1.72E+18,1.71E+18
2.90E+18,2.88E+18,2.87E+18,2.86E+18
9.88E+17,9.81E+17,9.76E+17,9.73E+17
2.88E+17,2.86E+17,2.85E+17,2.83E+17
9.37E+16,9.26E+16,9.26E+16,9.20E+16
7.05E+15,6.98E+15,6.97E+15,6.98E+15
2.70E+15,2.63E+15,2.62E+15,2.62E+15
2.16E+15,2.15E+15,2.11E+15,2.15E+15
1.23E+15,1.17E+15,1.19E+15,1.15E+15
4.45E+14,4.39E+14,4.28E+14,4.18E+14
